BP;Site;Wilaya;Code CNRC;Désignation CNRC;Code ONS;Désignation ONS;Andi;Ansej;Angem;Cnac;Opérations Intragroupe;Exportation ;Opérations de production de biens sans réfaction / Autres ; Activité de production de biens _Base Imposable (10%); Activité de production de biens  _Montant a payer (10%); Activité de production de biens  _Base Imposable(19%); Activité de production de biens  _Montant a payer (19%); Activités de bâtiment,de travaux publics et d´hydraulique ainsi que les activités touristiques et thermales à la l'exclusion des _Base Imposable (23%); Activités de bâtiment,de travaux publics et d´hydraulique ainsi que les activités touristiques et thermales à la l'exclusion des _Montant a payer(23%);Les activités de commerce et des services _Base Imposable(26%); Les activités de commerce et des services_Montant a payer(26%); Minimun d´imposition;Chiffre dàffaires net des Rabais, remises, ristounes;Solde clients;Provisions clients;Provisions Stocks;Stocks;Capitaux propres;Résultat net comptable de l’exercise;Dividendes distribués;Chiffre d’affaire (C.A);Résultat opérationnel;Sous-traitance générale;Consommations de l’exercice;Autres consommations;Autres services;Eléments extraordinaires (Charges);Résultat ordinaire;Produits financiers;Immobilisations financières;Perte Comptable;Résultat fiscal;Charges de personnel;Rémunérations dirigeants;Montant exonéré;Total ERA
2000045583;Direction des Grandes entreprises;DIW Constantine;/;/;/;/;-;-;-;-;-;-;-;1 047 016 214,00;104 701 621,40;0;0;0;0;1 274 013 485,00;331 243 506,10;0;13 249 594 833,00;1 812 797 147,00;430 123 464,00;226 750 540,00;2 199 969 276,00;6 612 797 811,00;1 770 158 738,00;150 000 000,00;13 281 912 554,00;2 355 184 145,00;455 847 374,00;9 262 658 291,00;512 253,00;107 245 029,00;0;2 222 890 660,00;107 836 657,00;9 286 435,00;0;2 321 030 213,00;470 191 029,00;2 745 000,00;514;57 049 531 449,00
2000044868;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;X;0;0;5 254 488 587,00;998 352 831,53;0;0;0;0;0;8 888 532 178,00;737 746 753,00;0;0;0;9 311 619 589,00;4 170 219 589,00;3 792 361 731,00;8 888 532 178,00;5 198 242 476,00;2 266 046 947,00;2 901 165 847,00;529 925 089,00;25 314 777,00;0;5 165 531 440,00;8 235 000,00;0;0;5 254 488 587,00;51 307 279,00;0;0;57 189 269 460,00
2000045437;Direction des Grandes entreprises;DIW Alger est;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;11 881 370 948,00;1 839 693 787,00;450 677 241,00;595 199 128,00;1 327 966 013,00;15 647 384 335,00;-552 824 012,00;0;13 932 752 238,00;-761 327 655,00;72 520 711,00;10 810 109 627,00;128 618 963,00;63 708 475,00;39 301 427,00;-772 324 714,00;29 790 440,00;1 987 631 780,00;552 824 012,00;-1 014 554 241,00;1 042 039 251,00;132 576 293,00;0;57 433 134 047,00
2000045357;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;643 343 963,00;7 007 096 083,00;2 811 669 965,00;5 777 045 512,00;7 706 435 131,00;48 138 702 951,00;-2 644 235 464,00;0;642 752 943,00;-2 602 434 846,00;17 320 864,00;177 469 549,00;15 241 971,00;386 352 796,00;0;-2 647 219 325,00;538 093,00;3 945 873 176,00;2 644 235 464,00;-16 289 781 761,00;1 760 363 489,00;0;0;57 490 770 554,00
2000045760;Direction des Grandes entreprises;DIW Sidi Bel Abbes;/;/;/;/;X;-;-;-;X;X;X;-;-;-;-;-;-;-;-;-;10 587 257 263,00;4 872 420 191,00;59 009 971,00;61 394 348,00;6 465 426 650,00;12 784 595 457,00;398 463 208,00;30 000 000,00;10 587 257 263,00;649 226 266,00;4 028 319,00;9 048 921 777,00;78 831 442,00;323 704 804,00;0;474 924 990,00;59 437 009,00;69 702 484,00;0;532 804 842,00;615 026 228,00;0;-;57 702 432 512,00
2000045276;Direction des Grandes entreprises;DIW Alger est;/;/;/;/;X;-;-;-;-;-;-;0;0;37 706 880,00;7 164 307,00;0;0;0;0;0;12 032 619 767,00;532 385 135,00;5 792 419,00;233 922 000,00;1 963 330 233,00;17 543 791 880,00;1 246 936 320,00;240 017 340,00;12 050 711 405,00;1 726 733 485,00;604 082 003,00;2 408 827 338,00;819 016 912,00;2 840 985 428,00;0;1 254 100 627,00;10 284 797,00;80 684 165,00;0;1 396 370 188,00;872 234 844,00;14 188 278,00;1 358 663 308,00;57 877 014 564,00
2000045825;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;X;-;-;0;0;0;0;0;0;-5 933 623 757,00;-1 542 742 177,00;10 000,00;11 849 895 270,00;7 119 860 011,00;0;0;0;12 321 116 374,00;-6 814 592 332,00;0;11 849 895 270,00;-6 814 592 332,00;15 550 434 476,00;17 070 465 459,00;1 003 203 981,00;111 587 557,00;0;-6 814 592 332,00;0;36 344 907,00;6 814 592 332,00;-5 933 623 757,00;1 412 754 013,00;0;0;58 762 748 897,00
2000044601;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;X;0;0;941 003 082,00;178 790 586,00;0;0;0;0;0;12 733 586 705,00;8 586 535 628,00;2 029 053 948,00;7 725 594,00;6 604 516 502,00;1 000 000 000,00;853 342 123,00;0;12 799 042 347,00;2 715 322 929,00;0;6 966 361 337,00;54 515 004,00;154 164 615,00;0;1 044 456 726,00;201 733 748,00;17 261 491,00;0;1 710 914 693,00;1 501 106 980,00;0;769 911 611,00;58 979 640 370,00
2000045177;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;X;-;-;-;-;-;-;0;0;0;0;0;0;4 689 679 949,00;1 219 316 787,00;0;11 229 322 704,00;497 680 699,00;13 400 607,00;67 727 994,00;605 110 031,00;10 473 295 537,00;3 484 886 733,00;1 073 356 426,00;11 229 322 704,00;4 628 632 995,00;99 198 833,00;2 279 798 573,00;94 411 677,00;72 873 328,00;0;4 649 382 733,00;88 783 592,00;840 063 796,00;0;4 945 354 792,00;3 095 906 810,00;23 304 236,00;255 674 843,00;59 491 814 800,00
2000046232;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;X;0;0;0;0;0;0;0;0;10 000,00;8 601 298 374,00;19 224 380 110,00;1 240 790 669,00;0;13 081,00;9 980 615 917,00;438 726 315,00;0;8 601 298 374,00;436 074 008,00;2 230 022 544,00;6 358 333 296,00;2 953 141 774,00;613 317 860,00;0;436 093 615,00;19 606,00;0;0;-1 639 234 877,00;1 086 474 756,00;0;0;60 561 365 422,00
